date,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
20180101,1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,7715346100,52.9,-852842100,-10,76065860532,916689,-107270,-10.5,9456186,1644,7957
20180101,2,2,0,OLD,20170590,1987,2017-12-27,4460740100,30.6,-224343200,-4.8,19714744137,531520,-28526,-5.1,2473597,1097,4982
20180101,3,3,0,OLD,20170402,강철비,2017-12-14,944300600,6.5,-48744300,-4.9,32939230166,114310,-6536,-5.4,4128607,602,1451
20180101,4,4,0,OLD,20179462,위대한 쇼맨,2017-12-20,509959700,3.5,25360100,5.2,7166998900,60072,2404,4.2,874659,432,843
20180101,5,5,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,262886500,1.8,-7375400,-2.7,3380416200,34103,-1037,-3,449358,417,605
20180101,6,6,0,OLD,20176082,몬스터 패밀리,2017-12-21,205793300,1.4,4588900,2.3,2737066000,26521,128,0.5,368151,342,463
20180101,7,7,0,OLD,20176947,원더,2017-12-27,158549600,1.1,-12511700,-7.3,790939300,19322,-1612,-7.7,101002,183,378
20180101,8,8,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,109207600,0.7,60400,0.1,5958125200,13750,-3,0,787496,195,270
20180101,9,9,0,OLD,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,47882900,0.3,-4968200,-9.4,327731800,5940,-693,-10.4,42390,166,246
20180101,10,10,0,OLD,20170443,스타워즈: 라스트 제다이,2017-12-14,35090500,0.2,-4164800,-10.6,8570976561,3298,-357,-9.8,949845,35,42
20180102,1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,2205552800,44.5,-5509793300,-71.4,78271413332,294360,-622329,-67.9,9750546,1446,7019
20180102,2,2,0,OLD,20170590,1987,2017-12-27,1643446600,33.1,-2817293500,-63.2,21358190737,217249,-314271,-59.1,2690846,1063,5044
